,created_at,user_id_str,username,tweet_url,Tweet,no_double,no_alay,clean_manual,stemmed,no_stopwords
64,2023-06-24,268432978,bangkujai,https://twitter.com/bangkujai/status/1672721335716564992,"Indonesia bernyali untuk Perubahan demi Keadilan Sosial Bagi Seluruh Rakyat Indonesia, Hidup KPP Anies Presiden 2024","Indonesia bernyali untuk Perubahan demi Keadilan Sosial Bagi Seluruh Rakyat Indonesia, Hidup KP Anies Presiden 2024","Indonesia bernyali untuk Perubahan demi Keadilan Sosial Bagi Seluruh Rakyat Indonesia, Hidup KP Anies Presiden 2024","Indonesia bernyali untuk Perubahan demi Keadilan Sosial Bagi Seluruh Rakyat Indonesia, Hidup KP Anies Presiden 2024",indonesia nyali untuk ubah demi adil sosial bagi seluruh rakyat indonesia hidup kp anies presiden 2024,"Indonesia bernyali Perubahan Keadilan Sosial Bagi Seluruh Rakyat Indonesia, Hidup KP Anies Presiden 2024"
65,2023-06-24,1542445660813008896,JarnasABWBpn,https://twitter.com/JarnasABWBpn/status/1672624731491807232,Perubahan akan hadir di 2024! Anies Baswedan Presiden RI 2024 untuk Indonesia Maju yang Berkeadilan 🥳 #AniesPresidenRI2024 https://t.co/TaqMa7fWH0,Perubahan akan hadir di 2024! Anies Baswedan Presiden RI 2024 untuk Indonesia Maju yang Berkeadilan 🥳 #AniesPresidenRI2024 htps:/t.co/TaqMa7fWH0,Perubahan akan hadir di 2024! Anies Baswedan Presiden RI 2024 untuk Indonesia Maju yang Berkeadilan 🥳 #AniesPresidenRI2024 htps:/t.co/TaqMa7fWH0,Perubahan akan hadir di 2024! Anies Baswedan Presiden RI 2024 untuk Indonesia Maju yang Berkeadilan 🥳 #AniesPresidenRI2024 htps:/t.co/TaqMa7fWH0,ubah akan hadir di 2024 anies baswedan presiden ri 2024 untuk indonesia maju yang adil aniespresidenri2024 htps t co taqma7fwh0,Perubahan hadir 2024! Anies Baswedan Presiden RI 2024 Indonesia Maju Berkeadilan 🥳 #AniesPresidenRI2024 htps:/t.co/TaqMa7fWH0
66,2023-06-24,1626070342132445185,UmmiYusniar,https://twitter.com/UmmiYusniar/status/1672622842184372230,Iya betul Bu..kami sengsara selama hampir 10 tahun ini. Terima kasih sudah diingatkan bu..salam sehat selalu bu..selamat istirahat..biar kami rakyat Indonesia dan Pak Anies yang mengurus negara ini nanti I sya Allah di 2024. Terima kasih sudah jadi presiden bayangan buat pak de.,Iya betul Bu.kami sengsara selama hampir 10 tahun ini. Terima kasih sudah dingatkan bu.salam sehat selalu bu.selamat istirahat.biar kami rakyat Indonesia dan Pak Anies yang mengurus negara ini nanti I sya Alah di 2024. Terima kasih sudah jadi presiden bayangan buat pak de.,Iya betul Bu.kami sengsara selama hampir 10 tahun ini. Terima kasih sudah dingatkan bu.salam sehat selalu bu.selamat istirahat.biar kami rakyat Indonesia dan Pak Anies yang mengurus negara ini nanti I saya Alah di 2024. Terima kasih sudah jadi presiden bayangan buat pak de.,Iya betul Bu.kami sengsara selama hampir 10 ini. Terima kasih sudah dingatkan bu.salam sehat selalu bu.selamat istirahat.biar kami Indonesia dan Pak Anies yang mengurus negara ini nanti I saya Alah di 2024. Terima kasih sudah bayangan pak de.,iya betul bu kami sengsara lama hampir 10 ini terima kasih sudah dingatkan bu salam sehat selalu bu selamat istirahat biar kami indonesia dan pak anies yang urus negara ini nanti i saya alah di 2024 terima kasih sudah bayang pak de,Iya betul Bu.kami sengsara selama hampir 10 tahun ini. Terima kasih dingatkan bu.salam sehat selalu bu.selamat istirahat.biar rakyat Indonesia Pak Anies mengurus negara nanti I Alah 2024. Terima kasih jadi presiden bayangan buat pak de.
67,2023-06-24,1424376806958780427,HTgpura,https://twitter.com/HTgpura/status/1672604636702965762,"sebelum disahkan jad Presiden RI berikutnya,Allah telah menunjukan keridoannNya untuk anies bertamu kerUmahNya.. semoga ini petanda baik untuk indonesia 2024 kelak ya guyss kuatkan doa kalian semua untuk pak Anies ya Guyss🤲🤲","sebelum disahkan jad Presiden RI berikutnya,Alah telah menunjukan keridoanNya untuk anies bertamu kerUmahNya. semoga ini petanda baik untuk indonesia 2024 kelak ya guys kuatkan doa kalian semua untuk pak Anies ya Guys🤲","sebelum disahkan jad Presiden RI berikutnya,Alah telah menunjukan keridoanNya untuk anies bertamu kerUmahNya. semoga ini petanda baik untuk indonesia 2024 kelak ya guys kuatkan doa kalian semua untuk pak Anies ya Guys🤲","sebelum disahkan jad Presiden RI berikutnya,Alah telah menunjukan keridoanNya untuk bertamu kerUmahNya. ini petanda baik untuk 2024 kelak ya guys kuatkan doa kalian untuk pak Anies ya Guys🤲",belum sah jad presiden ri ikut alah telah tunjuk keridoannya untuk tamu rumah ini tanda baik untuk 2024 kelak ya guys kuat doa kalian untuk pak anies ya guys,"disahkan jad Presiden RI berikutnya,Alah menunjukan keridoanNya anies bertamu kerUmahNya. semoga petanda baik indonesia 2024 kelak guys kuatkan doa kalian semua pak Anies Guys🤲"
68,2023-06-24,1006171363202105344,IyoeNew,https://twitter.com/IyoeNew/status/1672590185195016197,doa kami rakyat Indonesia semoga Pak Anies yg dijadikan pemimpin/presiden kami 2024 nanti dan bisa mewujudkan doa yg disampaikan aamiin,doa kami rakyat Indonesia semoga Pak Anies yg dijadikan pemimpin/presiden kami 2024 nanti dan bisa mewujudkan doa yg disampaikan amin,doa kami rakyat Indonesia semoga Pak Anies yang dijadikan pemimpin/presiden kami 2024 nanti dan bisa mewujudkan doa yang disampaikan amin,doa kami Indonesia Pak Anies yang dijadikan pemimpin/presiden kami 2024 nanti dan bisa mewujudkan doa yang disampaikan amin,doa kami indonesia pak anies yang jadi pimpin presiden kami 2024 nanti dan bisa wujud doa yang sampai amin,doa rakyat Indonesia semoga Pak Anies dijadikan pemimpin/presiden 2024 dan mewujudkan doa disampaikan amin
69,2023-06-24,1575064788161667072,PropertyTaja,https://twitter.com/PropertyTaja/status/1672572201210621954,Semangat ku untuk. Perubahan dan perbaikan harapan rakyat Indonesia ktum ahy pemimpin dan wakil presiden anies 2024 https://t.co/aXlOJyxAb9,Semangat ku untuk. Perubahan dan perbaikan harapan rakyat Indonesia ktum ahy pemimpin dan wakil presiden anies 2024 htps:/t.co/aXlOJyxAb9,Semangat ku untuk. Perubahan dan perbaikan harapan rakyat Indonesia ktum ahy pemimpin dan wakil presiden anies 2024 htps:/t.co/aXlOJyxAb9,Semangat ku untuk. Perubahan dan perbaikan harapan Indonesia ktum pemimpin dan wakil 2024 htps:/t.co/aXlOJyxAb9,semangat ku untuk ubah dan baik harap indonesia ktum pimpin dan wakil 2024 htps t co axlojyxab9,Semangat ku untuk. Perubahan perbaikan harapan rakyat Indonesia ktum ahy pemimpin wakil presiden anies 2024 htps:/t.co/aXlOJyxAb9
70,2023-06-24,1422897981506740224,abah_owl,https://twitter.com/abah_owl/status/1672545017548918785,😊 pake PINJOL aja ...😊 . Salam Perubahan UNTUK INDONESIA 2024 Anies Presiden . #aniespresiden2024 #AniesBaswedan https://t.co/IAkeNvbRqf,😊 pake PINJOL aja .😊 . Salam Perubahan UNTUK INDONESIA 2024 Anies Presiden . #aniespresiden2024 #AniesBaswedan htps:/t.co/IAkeNvbRqf,😊 pakai PINJOL saja .😊 . Salam Perubahan UNTUK INDONESIA 2024 Anies Presiden . #aniespresiden2024 #AniesBaswedan htps:/t.co/IAkeNvbRqf,😊 pakai PINJOL saja .😊 . Salam Perubahan UNTUK INDONESIA 2024 Anies Presiden . #aniespresiden2024 #AniesBaswedan htps:/t.co/IAkeNvbRqf,pakai pinjol saja salam ubah untuk indonesia 2024 anies presiden aniespresiden2024 aniesbaswedan htps t co iakenvbrqf,😊 pakai PINJOL .😊 . Salam Perubahan UNTUK INDONESIA 2024 Anies Presiden . #aniespresiden2024 #AniesBaswedan htps:/t.co/IAkeNvbRqf
71,2023-06-24,91745687,Sjaechu,https://twitter.com/Sjaechu/status/1672520059552694272,Pada akhirnya presiden Indonesia 2024 itu Insya Allah pak Anies Baswedan sehingga masyarakat Jawa Tengah bisa hidup lebih sejahtera...,Pada akhirnya presiden Indonesia 2024 itu Insya Alah pak Anies Baswedan sehinga masyarakat Jawa Tengah bisa hidup lebih sejahtera.,Pada akhirnya presiden Indonesia 2024 itu Insya Alah pak Anies Baswedan sehinga masyarakat Jawa Tengah bisa hidup lebih sejahtera.,Pada akhirnya Indonesia 2024 itu Insya Alah pak Anies Baswedan sehinga Jawa Tengah bisa hidup sejahtera.,pada akhir indonesia 2024 itu insya alah pak anies baswedan sehinga jawa tengah bisa hidup sejahtera,Pada akhirnya presiden Indonesia 2024 Insya Alah pak Anies Baswedan sehinga masyarakat Jawa Tengah hidup lebih sejahtera.
72,2023-06-24,1429040840932872193,EndyNugroho8,https://twitter.com/EndyNugroho8/status/1672487258245697537,"Seiring Perjalanan Waktu, Animo Masyarakat Indonesia Semakin Tinggi Mengusung Anies Baswedan Menjadi Presiden 2024. Semangat Perubahan Yg Didasari Keinginan Utk Mewujudkan Keadilan Sosial Bagi Seluruh Rakyat Indonesia. Keren..👍 Lihat video Ip76! #TikTok https://t.co/TciwT2NTiP","Seiring Perjalanan Waktu, Animo Masyarakat Indonesia Semakin Tingi Mengusung Anies Baswedan Menjadi Presiden 2024. Semangat Perubahan Yg Didasari Keinginan Utk Mewujudkan Keadilan Sosial Bagi Seluruh Rakyat Indonesia. Keren.👍 Lihat video Ip76! #TikTok htps:/t.co/TciwT2NTiP","Seiring Perjalanan Waktu, Animo Masyarakat Indonesia Semakin Tingi Mengusung Anies Baswedan Menjadi Presiden 2024. Semangat Perubahan Yg Didasari Keinginan Utk Mewujudkan Keadilan Sosial Bagi Seluruh Rakyat Indonesia. Keren.👍 Lihat video Ip76! #TikTok htps:/t.co/TciwT2NTiP","Seiring Perjalanan Waktu, Animo Masyarakat Indonesia Semakin Tingi Mengusung Anies Baswedan Menjadi Presiden 2024. Semangat Perubahan Yg Didasari Keinginan Utk Mewujudkan Keadilan Sosial Bagi Seluruh Rakyat Indonesia. Keren.👍 Lihat video Ip76! #TikTok htps:/t.co/TciwT2NTiP",iring jalan waktu animo masyarakat indonesia makin tingi usung anies baswedan jadi presiden 2024 semangat ubah yg dasar ingin utk wujud adil sosial bagi seluruh rakyat indonesia keren lihat video ip76 tiktok htps t co tciwt2ntip,"Seiring Perjalanan Waktu, Animo Masyarakat Indonesia Semakin Tingi Mengusung Anies Baswedan Menjadi Presiden 2024. Semangat Perubahan Yg Didasari Keinginan Utk Mewujudkan Keadilan Sosial Bagi Seluruh Rakyat Indonesia. Keren.👍 Lihat video Ip76! #TikTok htps:/t.co/TciwT2NTiP"
73,2023-06-24,1429040840932872193,EndyNugroho8,https://twitter.com/EndyNugroho8/status/1672484045056512000,Sejuk dan Menentramkan Penjelasan Anies Mengenai Sejarah Bangsa dan Negara Indonesia Dibentuk. Sungguh Layak Anies Baswedan Menjadi Presiden 2024 Utk Mewujudkan &amp Meluruskan Amanat Konstitusi UUD'45 Yaitu Berkeadilan. Lihat video alam.S.Sos.M. Ap! #TikTok https://t.co/mRz3uIQtRT,Sejuk dan Menentramkan Penjelasan Anies Mengenai Sejarah Bangsa dan Negara Indonesia Dibentuk. Sunguh Layak Anies Baswedan Menjadi Presiden 2024 Utk Mewujudkan &amp Meluruskan Amanat Konstitusi UD'45 Yaitu Berkeadilan. Lihat video alam.S.Sos.M. Ap! #TikTok htps:/t.co/mRz3uIQtRT,Sejuk dan Menentramkan Penjelasan Anies Mengenai Sejarah Bangsa dan Negara Indonesia Dibentuk. Sunguh Layak Anies Baswedan Menjadi Presiden 2024 Utk Mewujudkan &amp Meluruskan Amanat Konstitusi UD'45 Yaitu Berkeadilan. Lihat video alam.S.Sos.M. Ap! #TikTok htps:/t.co/mRz3uIQtRT,Sejuk dan Menentramkan Penjelasan Anies Mengenai Sejarah Bangsa dan Negara Indonesia Dibentuk. Sunguh Layak Anies Baswedan Menjadi Presiden 2024 Utk Mewujudkan &amp Meluruskan Amanat Konstitusi UD'45 Yaitu Berkeadilan. Lihat video alam.S.Sos.M. Ap! #TikTok htps:/t.co/mRz3uIQtRT,sejuk dan menentramkan jelas anies kena sejarah bangsa dan negara indonesia bentuk sunguh layak anies baswedan jadi presiden 2024 utk wujud amp lurus amanat konstitusi ud 45 yaitu adil lihat video alam s sos m ap tiktok htps t co mrz3uiqtrt,Sejuk Menentramkan Penjelasan Anies Mengenai Sejarah Bangsa Negara Indonesia Dibentuk. Sunguh Layak Anies Baswedan Menjadi Presiden 2024 Utk Mewujudkan &amp Meluruskan Amanat Konstitusi UD'45 Yaitu Berkeadilan. Lihat video alam.S.Sos.M. Ap! #TikTok htps:/t.co/mRz3uIQtRT
