,created_at,user_id_str,username,tweet_url,Tweet,no_stopwords,sentiment
656,2023-08-19,1265990655811043330,SuandiSilalah14,https://twitter.com/SuandiSilalah14/status/1692863210649767982,"pikirannya cemerlang, hatinya bersih, orangnya berani, demikian ungkapan Subianto, sungguh dan sungguh benar. Kami Pergerakan Warga Indonesia Raya (PERWIRA) bergembira mendukung dan memilih Prabowo Subianto Presiden RI ke-8, 2024-2029. https://t.co/6kU2lxfRBC",pikiranya cemerlang hati bersih orang berani ungkap subianto sunguh sunguh benar gera warga indonesia raya perwira gembira pilih prabowo subianto presiden ri htps t co,Positive
657,2023-08-19,1265990655811043330,SuandiSilalah14,https://twitter.com/SuandiSilalah14/status/1692857297201238298,"Sukarelawan Pergerakan Warga Indonesia Raya, terus bergerak bersama warga mendukung dan memilih Prabowo Subianto, Presiden RI ke-8, 2024-2029, sebagai pejuang kesejahteraan warga Indonesia raya https://t.co/i2eTNZcYc6",sukarelawan gera warga indonesia raya gerak pilih prabowo subianto presiden ri bagai juang kesejahteran indonesia raya htps t co,Positive
658,2023-08-19,1008518022896627712,hasapeta258,https://twitter.com/hasapeta258/status/1692856653778157628,hidup koalisi kebangkitan indonesia raya!Prabowo Subianto Presiden 2024!,hidup koalisi bangkit raya prabowo subianto presiden,Positive
659,2023-08-19,1265990655811043330,SuandiSilalah14,https://twitter.com/SuandiSilalah14/status/1692855892822360379,Prabowo Subianto 2024-2029 Presiden untuk Pejuang yang ikhlas berjuang demi warga Indonesia Raya.,prabowo subianto presiden juang ikhlas juang indonesia raya,Positive
660,2023-08-19,1541798327473553409,GenMediaNetwork,https://twitter.com/GenMediaNetwork/status/1692855427212734475,Partai Gelombang Rakyat (Gelora) Indonesia menyatakan dukungan kepada Prabowo Subianto sebagai calon presiden pada tahun 2024. https://t.co/ou5iT56eFT,partai gelombang rakyat gelora indonesia nyata prabowo subianto bagai htps t co,Positive
661,2023-08-19,1265990655811043330,SuandiSilalah14,https://twitter.com/SuandiSilalah14/status/1692853893682913695,"Prabowo Subianto adalah Pejuang Warga Indonesia Raya, Presiden RI ke-8, 2024-2029. https://t.co/ZM1HgqdRCr",prabowo subianto juang warga indonesia raya presiden ri htps t co,Positive
662,2023-08-19,1265990655811043330,SuandiSilalah14,https://twitter.com/SuandiSilalah14/status/1692852976862609862,Segera PERWIRA (Pergerakan Warga Indonesia Raya) mendukung Prabowo Subianto Presiden 2024 https://t.co/GzJ3b3KR8Q,segera perwira gera warga indonesia raya prabowo subianto presiden htps t co,Positive
663,2023-08-19,1504770962700779520,ISuranaba,https://twitter.com/ISuranaba/status/1692850994932310277,Semoga Bapak Prabowo Subianto terpilih sebagai Presiden Republik Indonesia di tahun 2024🙏🙏🙏,moga bapak prabowo subianto bagai presiden republik indonesia,Positive
664,2023-08-19,120968478,Fahrihamzah,https://twitter.com/Fahrihamzah/status/1692849458554474708,"Terima kasih atas kunjungan para sahabat partai Gerindra, Calon partai terbesar pemilu legislatif 2024 dan bersama2 mendukung pak Prabowo sbg calon presiden terkuat pada pemilu presiden akan datang. Mari maju bersama menyongsong Indonesia Raya sebagai Superpower Baru. https://t.co/RKEQdJvRvM",terima kasih atas kunjung sahabat gerindra calon besar legislatif pak prabowo bagai kuat datang songsong indonesia raya bagai superpower baru htps t co rkeqdjvrvm,Positive
665,2023-08-19,1692360767868473344,DSetyo63371,https://twitter.com/DSetyo63371/status/1692834347462885639,"Mantap Gerindra,prabowo presiden republik Indonesia 2024,merdeka",mantap gerindra republik indonesia merdeka,Positive
