word,paslon,sentiment
dorong,anies,Positive
mayoritas,anies,Positive
thn,anies,Positive
dorong,anies,Positive
mayoritas,anies,Positive
thn,anies,Positive
dorong,anies,Positive
mayoritas,anies,Positive
thn,anies,Positive
dorong,anies,Positive
mayoritas,anies,Positive
thn,anies,Positive
dorong,anies,Positive
mayoritas,anies,Positive
thn,anies,Positive
dorong,anies,Positive
mayoritas,anies,Positive
thn,anies,Positive
dorong,anies,Positive
mayoritas,anies,Positive
thn,anies,Positive
dorong,anies,Positive
mayoritas,anies,Positive
thn,anies,Positive
dorong,anies,Positive
mayoritas,anies,Positive
thn,anies,Positive
dorong,anies,Positive
mayoritas,anies,Positive
thn,anies,Positive
dorong,anies,Positive
mayoritas,anies,Positive
thn,anies,Positive
dorong,anies,Positive
mayoritas,anies,Positive
thn,anies,Positive
dasyat,anies,Positive
bosan,anies,Positive
temu,anies,Positive
kebangsan,anies,Positive
luar,anies,Positive
biasa,anies,Positive
songsong,anies,Positive
rapat,anies,Positive
baris,anies,Positive
sukses,anies,Positive
sejahtera,anies,Positive
dasyat,anies,Positive
bosan,anies,Positive
temu,anies,Positive
kebangsan,anies,Positive
luar,anies,Positive
biasa,anies,Positive
songsong,anies,Positive
rapat,anies,Positive
baris,anies,Positive
sukses,anies,Positive
sejahtera,anies,Positive
dasyat,anies,Positive
bosan,anies,Positive
temu,anies,Positive
kebangsan,anies,Positive
luar,anies,Positive
biasa,anies,Positive
songsong,anies,Positive
rapat,anies,Positive
baris,anies,Positive
sukses,anies,Positive
sejahtera,anies,Positive
dasyat,anies,Positive
bosan,anies,Positive
temu,anies,Positive
kebangsan,anies,Positive
luar,anies,Positive
biasa,anies,Positive
songsong,anies,Positive
rapat,anies,Positive
baris,anies,Positive
sukses,anies,Positive
sejahtera,anies,Positive
dasyat,anies,Positive
bosan,anies,Positive
temu,anies,Positive
kebangsan,anies,Positive
luar,anies,Positive
biasa,anies,Positive
songsong,anies,Positive
rapat,anies,Positive
baris,anies,Positive
sukses,anies,Positive
sejahtera,anies,Positive
dasyat,anies,Positive
bosan,anies,Positive
temu,anies,Positive
kebangsan,anies,Positive
luar,anies,Positive
biasa,anies,Positive
songsong,anies,Positive
rapat,anies,Positive
baris,anies,Positive
sukses,anies,Positive
sejahtera,anies,Positive
dasyat,anies,Positive
bosan,anies,Positive
temu,anies,Positive
kebangsan,anies,Positive
luar,anies,Positive
biasa,anies,Positive
songsong,anies,Positive
rapat,anies,Positive
baris,anies,Positive
sukses,anies,Positive
sejahtera,anies,Positive
dasyat,anies,Positive
bosan,anies,Positive
temu,anies,Positive
kebangsan,anies,Positive
luar,anies,Positive
biasa,anies,Positive
songsong,anies,Positive
rapat,anies,Positive
baris,anies,Positive
sukses,anies,Positive
sejahtera,anies,Positive
dasyat,anies,Positive
bosan,anies,Positive
temu,anies,Positive
kebangsan,anies,Positive
luar,anies,Positive
biasa,anies,Positive
songsong,anies,Positive
rapat,anies,Positive
baris,anies,Positive
sukses,anies,Positive
sejahtera,anies,Positive
dasyat,anies,Positive
bosan,anies,Positive
temu,anies,Positive
kebangsan,anies,Positive
luar,anies,Positive
biasa,anies,Positive
songsong,anies,Positive
rapat,anies,Positive
baris,anies,Positive
sukses,anies,Positive
sejahtera,anies,Positive
dasyat,anies,Positive
bosan,anies,Positive
temu,anies,Positive
kebangsan,anies,Positive
luar,anies,Positive
biasa,anies,Positive
songsong,anies,Positive
rapat,anies,Positive
baris,anies,Positive
sukses,anies,Positive
sejahtera,anies,Positive
dasyat,anies,Positive
bosan,anies,Positive
temu,anies,Positive
kebangsan,anies,Positive
luar,anies,Positive
biasa,anies,Positive
songsong,anies,Positive
rapat,anies,Positive
baris,anies,Positive
sukses,anies,Positive
sejahtera,anies,Positive
kuasa,anies,Positive
jejak,anies,Positive
hapus,anies,Positive
bumi,anies,Positive
kuasa,anies,Positive
jejak,anies,Positive
